| 방법 | 배포 모드 | 게인 | h_plan | h_PD | F_τ | F_τ hip | F_τ knee |
| PPO(best,엄격18) | 성형 | 120_2.2_150_2.5 | 1.202 | 1.190 | 11.8% | 10.2% | 13.0% |
| PPO(best,엄격18) | 성형 | 120_2.2_200_2.8 | 1.202 | 1.189 | 14.3% | 11.2% | 16.5% |
| PPO(best,엄격18) | 성형 | 120_2_120_2 | 1.202 | 1.188 | 11.3% | 9.7% | 12.4% |
| PPO(best,엄격18) | 성형 | 150_2.2_250_3 | 1.202 | 1.198 | 14.5% | 11.4% | 16.7% |
| PPO(best,엄격18) | 성형 | 150_2.2_350_3.5 | 1.202 | 1.198 | 17.8% | 11.8% | 21.7% |
| PPO(best,엄격18) | 성형 | 150_2.2_500_4 | 1.202 | 1.198 | 22.1% | 12.5% | 27.8% |
| PPO(best,엄격18) | 성형 | 60_1.5_60_1.5 | 1.202 | 1.148 | 11.7% | 7.7% | 14.3% |
| PPO(best,엄격18) | 성형 | 90_1.5_90_2.5 | 1.202 | 1.184 | 10.3% | 8.3% | 11.8% |C:\Users\junho\Documents\jump-opt-digital-twin\code\goal22\p25_deploy\p25_e_summary.py:109: UserWarning: Glyph 8722 (\N{MINUS SIGN}) missing from font(s) Malgun Gothic.
  fig.tight_layout()
C:\Users\junho\Documents\jump-opt-digital-twin\code\goal22\p25_deploy\p25_e_summary.py:110: UserWarning: Glyph 8722 (\N{MINUS SIGN}) missing from font(s) Malgun Gothic.
  fig.savefig(HERE / f"p25_e_fig_scatter{SUF}.png", dpi=140)

saved p25_e_master.json / p25_e_table.md / p25_e_fig_scatter.png / p25_e_fig_bars.png
