| 방법 | 배포 모드 | 게인 | h_plan | h_PD | F_τ | F_τ hip | F_τ knee |
| CL-CMA | FF+PD | 60_1.5_60_1.5 | 1.388 | 1.378 | 28.9% | 40.5% | 17.2% |
| CL-CMA | FF+PD | 90_1.5_90_2.5 | 1.388 | 1.370 | 35.0% | 44.6% | 26.8% |
| CL-CMA | PD그대로 | 120_2.2_150_2.5 | 1.388 | 1.009 | 30.3% | 4.8% | 38.9% |
| CL-CMA | PD그대로 | 120_2.2_200_2.8 | 1.388 | 1.210 | 23.7% | 4.8% | 30.4% |
| CL-CMA | PD그대로 | 120_2_120_2 | 1.388 | 0.893 | 38.1% | 9.5% | 48.6% |
| CL-CMA | PD그대로 | 150_2.2_250_3 | 1.388 | 1.318 | 19.6% | 4.5% | 25.0% |
| CL-CMA | PD그대로 | 150_2.2_350_3.5 | 1.388 | 1.368 | 10.1% | 2.2% | 13.0% |
| CL-CMA | PD그대로 | 150_2.2_500_4 | 1.388 | 1.387 | 0.0% | 0.0% | 0.0% |
| CL-CMA | PD그대로 | 60_1.5_60_1.5 | 1.388 | 0.838 | 51.8% | 31.3% | 61.8% |
| CL-CMA | PD그대로 | 90_1.5_90_2.5 | 1.388 | 0.878 | 36.0% | 25.7% | 41.4% |
| CL-CMA | 성형 | 120_2.2_150_2.5 | 1.388 | 1.388 | 26.2% | 35.1% | 18.0% |
| CL-CMA | 성형 | 120_2.2_200_2.8 | 1.388 | 1.386 | 27.3% | 34.9% | 20.7% |
| CL-CMA | 성형 | 120_2_120_2 | 1.388 | 1.387 | 26.3% | 36.1% | 16.8% |
| CL-CMA | 성형 | 150_2.2_250_3 | 1.388 | 1.386 | 27.4% | 32.1% | 23.8% |
| CL-CMA | 성형 | 150_2.2_350_3.5 | 1.388 | 1.390 | 30.1% | 31.6% | 29.1% |
| CL-CMA | 성형 | 150_2.2_500_4 | 1.388 | 1.391 | 35.1% | 31.9% | 37.0% |
| CL-CMA | 성형 | 60_1.5_60_1.5 | 1.388 | 1.384 | 31.4% | 45.9% | 15.6% |
| CL-CMA | 성형 | 90_1.5_90_2.5 | 1.388 | 1.384 | 29.1% | 42.2% | 14.8% |
| iLQR | FF+PD | 120_2.2_150_2.5 | 1.388 | 1.384 | 21.4% | 14.3% | 36.1% |
| iLQR | FF+PD | 120_2.2_200_2.8 | 1.388 | 1.384 | 24.7% | 15.2% | 43.2% |
| iLQR | FF+PD | 120_2_120_2 | 1.388 | 1.384 | 19.9% | 13.9% | 32.7% |
| iLQR | FF+PD | 150_2.2_250_3 | 1.388 | 1.384 | 28.5% | 17.1% | 50.3% |
| iLQR | FF+PD | 150_2.2_350_3.5 | 1.388 | 1.386 | 33.7% | 18.4% | 61.4% |
| iLQR | FF+PD | 150_2.2_500_4 | 1.388 | 1.388 | 40.2% | 20.3% | 74.8% |
| iLQR | FF+PD | 60_1.5_60_1.5 | 1.388 | 1.385 | 14.8% | 10.7% | 23.7% |
| iLQR | FF+PD | 90_1.5_90_2.5 | 1.388 | 1.387 | 16.4% | 12.1% | 26.1% |
| iLQR | PD그대로 | 120_2.2_150_2.5 | 1.388 | 1.086 | 67.1% | 59.2% | 86.5% |
| iLQR | PD그대로 | 120_2.2_200_2.8 | 1.388 | 1.242 | 66.7% | 59.1% | 85.4% |
| iLQR | PD그대로 | 120_2_120_2 | 1.388 | 0.882 | 69.4% | 60.7% | 89.7% |
| iLQR | PD그대로 | 150_2.2_250_3 | 1.388 | 1.308 | 66.2% | 57.9% | 86.2% |
| iLQR | PD그대로 | 150_2.2_350_3.5 | 1.388 | 1.349 | 65.7% | 57.8% | 84.8% |
| iLQR | PD그대로 | 150_2.2_500_4 | 1.388 | 1.344 | 66.0% | 58.3% | 84.5% |
