t_s,q1_des_rad,dq1_des_rad_s,tau1_ff_Nm,q2_des_rad,dq2_des_rad_s,tau2_ff_Nm
0.000000,-0.296700,0.000000,0.073820,-2.548193,-0.000000,7.382396
0.004209,-0.296801,-0.048093,0.571189,-2.547990,0.096187,8.416649
0.008419,-0.297025,-0.058262,0.509951,-2.547542,0.116525,9.545556
0.012628,-0.297347,-0.094859,0.531386,-2.546898,0.189718,10.416783
0.016837,-0.297856,-0.146799,0.469555,-2.545881,0.293599,11.067664
0.021047,-0.298595,-0.204290,0.519652,-2.544403,0.408580,11.703773
0.025256,-0.299591,-0.269009,0.405804,-2.542411,0.538017,12.105180
0.029465,-0.300871,-0.339091,0.421461,-2.539851,0.678182,12.433725
0.033675,-0.302453,-0.412600,0.276505,-2.536687,0.825201,12.538039
0.037884,-0.304348,-0.487820,0.263047,-2.532897,0.975640,12.586224
0.042093,-0.306567,-0.566589,0.104525,-2.528458,1.133179,12.583867
0.046303,-0.309117,-0.645037,0.129596,-2.523358,1.290074,12.581796
0.050512,-0.312000,-0.724553,-0.038800,-2.517593,1.449107,12.579497
0.054721,-0.315218,-0.804519,-0.008076,-2.511157,1.609038,12.577299
0.058931,-0.318774,-0.885044,-0.184805,-2.504045,1.770088,12.574983
0.063140,-0.322670,-0.966327,-0.162051,-2.496252,1.932653,12.572737
0.067349,-0.326911,-1.048387,-0.346969,-2.487771,2.096774,12.570370
0.071559,-0.331498,-1.131297,-0.331955,-2.478596,2.262594,12.568085
0.075768,-0.336437,-1.215201,-0.526573,-2.468719,2.430402,12.565685
0.079977,-0.341731,-1.300160,-0.519731,-2.458131,2.600320,12.563324
0.084187,-0.347385,-1.386311,-0.724787,-2.446823,2.772622,12.560864
0.088396,-0.353404,-1.473748,-0.726988,-2.434784,2.947497,12.558429
0.092605,-0.359795,-1.562625,-0.943565,-2.422003,3.125251,12.555893
0.096815,-0.366563,-1.653048,-0.955684,-2.408467,3.306095,12.553373
0.101024,-0.373715,-1.745200,-1.185175,-2.394163,3.490399,12.550751
0.105233,-0.381259,-1.839205,-1.208314,-2.379075,3.678410,12.548124
0.109443,-0.389203,-1.935282,-1.452402,-2.363187,3.870565,12.545394
0.113652,-0.397556,-2.033580,-1.487941,-2.346480,4.067161,12.542643
0.117861,-0.406328,-2.134362,-1.748714,-2.328936,4.268724,12.539782
0.122070,-0.415530,-2.237808,-1.798377,-2.310532,4.475616,12.536885
0.126280,-0.425174,-2.344239,-2.078449,-2.291245,4.688477,12.533866
0.130489,-0.435272,-2.453876,-2.144421,-2.271048,4.907751,12.530792
0.134698,-0.445840,-2.567116,-2.447092,-2.249913,5.134231,12.527583
0.138908,-0.456892,-2.684235,-2.532180,-2.227808,5.368470,12.524297
0.143117,-0.468447,-2.805731,-2.861679,-2.204699,5.611463,12.520856
0.147326,-0.480523,-2.931956,-2.969540,-2.180548,5.863913,12.517311
0.151536,-0.493141,-3.063543,-3.331405,-2.155310,6.127086,12.513588
0.155745,-0.506326,-3.200947,-3.466852,-2.128941,6.401894,12.509726
0.159954,-0.520103,-3.344989,-3.868327,-2.101387,6.689977,12.505653
0.164164,-0.534501,-3.496274,-4.037998,-2.072590,6.992549,12.501399
0.168373,-0.549554,-3.655888,-4.489063,-2.042484,7.311776,12.496887
0.172582,-0.565298,-3.824652,-4.701978,-2.010996,7.649304,12.492139
0.176792,-0.581775,-4.004050,-5.217121,-1.978043,8.008099,12.487071
0.181001,-0.599032,-4.195206,-5.485533,-1.943529,8.390411,12.481690
0.185210,-0.617122,-4.400174,-6.082115,-1.907349,8.800347,12.475900
0.189420,-0.636108,-4.620700,-6.428360,-1.869377,9.241399,12.469692
0.193629,-0.656061,-4.859707,-7.140809,-1.829471,9.719413,12.462944
0.197838,-0.677064,-5.119632,-7.588770,-1.787464,10.239264,12.455622
0.202048,-0.699208,-5.401619,-8.249793,-1.743177,10.803237,12.447664
0.206257,-0.722597,-5.711533,-8.651971,-1.696398,11.423066,12.438929
0.210466,-0.747350,-6.049547,-9.042373,-1.646892,12.099094,12.429396
0.214676,-0.773597,-6.421246,-9.137396,-1.594398,12.842491,12.418914
0.218885,-0.801492,-6.832692,-9.234379,-1.538608,13.665383,12.407310
0.223094,-0.831215,-7.289491,-9.042713,-1.479163,14.578982,12.394433
0.227304,-0.862970,-7.798578,-8.794283,-1.415653,15.597156,12.380066
0.231513,-0.896979,-8.360297,-8.436225,-1.347635,16.720594,11.992740
0.235722,-0.933476,-8.980861,-8.217323,-1.274640,17.961722,11.262948
0.239932,-0.972728,-9.668782,-7.881626,-1.196137,19.337564,10.018122
0.244141,-1.014917,-10.376818,-7.536112,-1.111759,20.753636,7.475674
0.248350,-1.059599,-10.853040,-7.303716,-1.022396,21.706081,-0.015491
