t_s,q1_des_rad,dq1_des_rad_s,tau1_ff_Nm,q2_des_rad,dq2_des_rad_s,tau2_ff_Nm
0.000000,-0.296700,-0.000000,-0.064327,-2.548192,-0.000000,7.598884
0.003540,-0.296810,-0.062096,0.575228,-2.547973,0.124192,8.793190
0.007080,-0.297048,-0.072602,0.564325,-2.547496,0.145204,10.174820
0.010620,-0.297366,-0.106746,0.568820,-2.546861,0.213493,11.309995
0.014160,-0.297842,-0.162013,0.496489,-2.545910,0.324025,12.198681
0.017700,-0.298527,-0.225316,0.566316,-2.544538,0.450633,13.091996
0.021240,-0.299450,-0.296119,0.461857,-2.542693,0.592238,13.769829
0.024780,-0.300638,-0.374988,0.482804,-2.540317,0.749977,14.398723
0.028320,-0.302116,-0.460135,0.347623,-2.537361,0.920270,14.796962
0.031860,-0.303903,-0.549416,0.340018,-2.533787,1.098832,15.129315
0.035399,-0.306012,-0.641887,0.167665,-2.529570,1.283774,15.231957
0.038939,-0.308451,-0.736131,0.129253,-2.524692,1.472262,15.279166
0.042479,-0.311230,-0.834256,-0.061288,-2.519132,1.668512,15.276129
0.046019,-0.314358,-0.932752,-0.058716,-2.512877,1.865503,15.273640
0.049559,-0.317836,-1.032197,-0.252794,-2.505922,2.064394,15.270644
0.053099,-0.321667,-1.132368,-0.245329,-2.498259,2.264737,15.268015
0.056639,-0.325854,-1.233453,-0.450951,-2.489884,2.466906,15.265007
0.060179,-0.330401,-1.335467,-0.452501,-2.480790,2.670935,15.262290
0.063719,-0.335311,-1.438550,-0.670028,-2.470970,2.877100,15.259251
0.067259,-0.340588,-1.542806,-0.681959,-2.460417,3.085611,15.256446
0.070799,-0.346236,-1.648380,-0.912397,-2.449120,3.296761,15.253356
0.074339,-0.352261,-1.755373,-0.935474,-2.437071,3.510747,15.250454
0.077879,-0.358667,-1.863965,-1.180254,-2.424259,3.727931,15.247294
0.081419,-0.365461,-1.974275,-1.215591,-2.410671,3.948550,15.244283
0.084959,-0.372648,-2.086510,-1.476340,-2.396297,4.173020,15.241033
0.088499,-0.380237,-2.200811,-1.525305,-2.381120,4.401622,15.237897
0.092039,-0.388234,-2.317426,-1.804077,-2.365125,4.634852,15.234534
0.095579,-0.396648,-2.436523,-1.868361,-2.348297,4.873047,15.231253
0.099118,-0.405489,-2.558400,-2.167695,-2.330615,5.116800,15.227749
0.102658,-0.414767,-2.683262,-2.249423,-2.312060,5.366523,15.224297
0.106198,-0.424492,-2.811469,-2.572495,-2.292609,5.622938,15.220622
0.109738,-0.434678,-2.943275,-2.674362,-2.272237,5.886550,15.216967
0.113278,-0.445337,-3.079124,-3.025190,-2.250918,6.158248,15.213082
0.116818,-0.456485,-3.219333,-3.150654,-2.228622,6.438666,15.209184
0.120358,-0.468138,-3.364457,-3.534376,-2.205316,6.728913,15.205043
0.123898,-0.480315,-3.514898,-3.687946,-2.180963,7.029797,15.200852
0.127438,-0.493034,-3.671361,-4.111235,-2.155524,7.342723,15.196395
0.130978,-0.506319,-3.834369,-4.298897,-2.128954,7.668737,15.191845
0.134518,-0.520194,-4.004830,-4.770723,-2.101204,8.009659,15.186997
0.138058,-0.534687,-4.183433,-5.000417,-2.072218,8.366865,15.182004
0.141598,-0.549829,-4.371374,-5.532392,-2.041934,8.742747,15.176665
0.145138,-0.565654,-4.569602,-5.815783,-2.010284,9.139204,15.171116
0.148678,-0.582203,-4.779738,-6.426146,-1.977188,9.559477,15.165156
0.152218,-0.599518,-5.003045,-6.777247,-1.942557,10.006090,15.158895
0.155758,-0.617651,-5.241777,-7.486198,-1.906291,10.483554,15.152127
0.159298,-0.636660,-5.497922,-7.933361,-1.868273,10.995844,15.144942
0.162838,-0.656612,-5.774648,-8.782728,-1.828369,11.549296,15.137109
0.166377,-0.677585,-6.074646,-9.353790,-1.786423,12.149291,15.128675
0.169917,-0.699662,-6.398254,-10.101444,-1.742269,12.796508,15.119534
0.173457,-0.722937,-6.751908,-10.573341,-1.695719,13.503816,15.109576
0.176997,-0.747521,-7.137334,-11.013241,-1.646551,14.274668,15.098693
0.180537,-0.773535,-7.560377,-11.182464,-1.594522,15.120753,15.086773
0.184077,-0.801126,-8.027681,-11.343634,-1.539341,16.055363,15.073597
0.187617,-0.830458,-8.544302,-11.130307,-1.480677,17.088604,15.059038
0.191157,-0.861719,-9.117791,-10.850437,-1.418155,18.235581,15.011985
0.194697,-0.895119,-9.752294,-10.452657,-1.351356,19.504587,14.601357
0.198237,-0.930886,-10.455404,-10.197725,-1.279821,20.910809,13.843563
0.201777,-0.969257,-11.223794,-9.822771,-1.203078,22.447588,12.261882
0.205317,-1.010333,-11.983381,-9.452105,-1.120926,23.966762,8.607988
0.208857,-1.053701,-12.518511,-9.190964,-1.034191,25.037022,0.054253
