계획                     모드       게인                h_plan    h_PD     F_τ
warm-start from previous mshoot best
warm-start from previous fourbar best
[p25_d] setup done [2s] — p24a law=(-0.3823, 0.6301, 7.2968) spr=(0.5637, 1.8775, 5.8838) k_rise=0.2656 tm=1.31ms
t0nc_ppo_best_long     그대로      150_2.2_500_4      1.058   1.207   64.6%
t0nc_ppo_long          FF+PD    60_1.5_60_1.5      1.051   1.074    6.9%
t0nc_ppo_long          그대로      60_1.5_60_1.5      1.051   1.059   89.4%
t0nc_ppo_long          FF+PD    90_1.5_90_2.5      1.051   1.069    6.6%
t0nc_ppo_long          그대로      90_1.5_90_2.5      1.051   1.134   81.8%
t0nc_ppo_long          FF+PD    120_2_120_2        1.051   1.066    6.6%
t0nc_ppo_long          그대로      120_2_120_2        1.051   1.223   80.0%
t0nc_ppo_long          FF+PD    120_2.2_150_2.5    1.051   1.061    6.6%
t0nc_ppo_long          그대로      120_2.2_150_2.5    1.051   1.217   75.3%
t0nc_ppo_long          FF+PD    120_2.2_200_2.8    1.051   1.056    6.8%
t0nc_ppo_long          그대로      120_2.2_200_2.8    1.051   1.217   72.7%
t0nc_ppo_long          FF+PD    150_2.2_250_3      1.051   1.051    7.1%
t0nc_ppo_long          그대로      150_2.2_250_3      1.051   1.239   68.7%
t0nc_ppo_long          FF+PD    150_2.2_350_3.5    1.051   1.049    7.7%
t0nc_ppo_long          그대로      150_2.2_350_3.5    1.051   1.223   66.3%
t0nc_ppo_long          FF+PD    150_2.2_500_4      1.051   1.053    8.5%
t0nc_ppo_long          그대로      150_2.2_500_4      1.051   1.203   65.0%
saved t0_deploy_results.json
