warm-start from previous mshoot best
warm-start from previous fourbar best
x0(P19): CLτ 38.1% CLdq 16.7% | JW02 418.1 | JW06 1235.9/299.3 | s2s 4926.8 | 0604 164.5
warm-start from previous mshoot best
warm-start from previous fourbar best
warm-start from previous mshoot best
warm-start from previous fourbar best
warm-start from previous mshoot best
warm-start from previous fourbar best
warm-start from previous mshoot best
warm-start from previous fourbar best
warm-start from previous mshoot best
warm-start from previous fourbar best
warm-start from previous mshoot best
warm-start from previous fourbar best
warm-start from previous mshoot best
warm-start from previous fourbar best
warm-start from previous mshoot best
warm-start from previous fourbar best
warm-start from previous mshoot best
warm-start from previous fourbar best
BEST r0 nev=195 J=0.9088 stiff=0.915 ref=1.5 fv_hip=0.166 fc_hip=0.087 fv_knee=0.0646 fc_knee=0.0743 solref=0.0102 imp0=0.592 arm_knee=0.00809 M_c=0.783 I_th=0.973 I_ca=1.43 dz_th=0.0743 dz_ca=0.12 tm=1.09e-06 c_qs=0.000507 v0=3.76 o1_429=0.0953 o2_429=-0.0809 pre30=0.53 [1.9m]
BEST r0 nev=226 J=0.9057 stiff=1.03 ref=1.5 fv_hip=0.446 fc_hip=0.166 fv_knee=0.082 fc_knee=0.102 solref=0.00713 imp0=0.61 arm_knee=0.00899 M_c=0.747 I_th=0.804 I_ca=1.44 dz_th=0.114 dz_ca=0.117 tm=0.000258 c_qs=0.00929 v0=9.49 o1_429=0.0997 o2_429=-0.0657 pre30=0.247 [2.3m]
BEST r0 nev=273 J=0.9023 stiff=1.01 ref=1.5 fv_hip=0.25 fc_hip=0.186 fv_knee=0.0795 fc_knee=0.147 solref=0.00831 imp0=0.7 arm_knee=0.0099 M_c=0.704 I_th=0.818 I_ca=1.45 dz_th=0.0854 dz_ca=0.104 tm=0.000391 c_qs=0.0354 v0=8.09 o1_429=0.119 o2_429=-0.076 pre30=4.38e-05 [2.7m]
BEST r0 nev=352 J=0.8994 stiff=0.913 ref=1.51 fv_hip=0.497 fc_hip=0.0958 fv_knee=0.068 fc_knee=0.00754 solref=0.0102 imp0=0.682 arm_knee=0.00775 M_c=0.614 I_th=0.967 I_ca=1.43 dz_th=0.103 dz_ca=0.12 tm=0.000167 c_qs=0.00418 v0=13.8 o1_429=0.139 o2_429=-0.0942 pre30=0.365 [3.5m]
BEST r0 nev=402 J=0.8987 stiff=0.924 ref=1.59 fv_hip=0.369 fc_hip=0.0678 fv_knee=0.0708 fc_knee=0.0824 solref=0.00836 imp0=0.626 arm_knee=0.00747 M_c=0.621 I_th=1 I_ca=1.43 dz_th=0.0912 dz_ca=0.12 tm=0.000184 c_qs=0.000176 v0=18.8 o1_429=0.117 o2_429=-0.0821 pre30=0.432 [3.9m]
BEST r0 nev=525 J=0.8973 stiff=1.15 ref=1.5 fv_hip=0.258 fc_hip=0.0662 fv_knee=0.0812 fc_knee=0.0822 solref=0.00838 imp0=0.509 arm_knee=0.00848 M_c=0.531 I_th=0.948 I_ca=1.45 dz_th=0.0676 dz_ca=0.117 tm=0.00199 c_qs=0.0204 v0=7.64 o1_429=0.0884 o2_429=-0.0527 pre30=0.0358 [5.1m]
BEST r0 nev=527 J=0.8970 stiff=0.99 ref=1.5 fv_hip=0.4 fc_hip=0.0541 fv_knee=0.0926 fc_knee=0.0845 solref=0.0064 imp0=0.568 arm_knee=0.00853 M_c=0.446 I_th=0.876 I_ca=1.45 dz_th=0.0799 dz_ca=0.111 tm=0.00185 c_qs=0.0409 v0=11.3 o1_429=0.0713 o2_429=-0.0539 pre30=0.161 [5.1m]
BEST r0 nev=537 J=0.8967 stiff=1.1 ref=1.5 fv_hip=0.349 fc_hip=0.0925 fv_knee=0.0936 fc_knee=0.0785 solref=0.00843 imp0=0.585 arm_knee=0.00895 M_c=0.465 I_th=0.869 I_ca=1.42 dz_th=0.0783 dz_ca=0.117 tm=1.04e-05 c_qs=0.0313 v0=5.25 o1_429=0.0836 o2_429=-0.0378 pre30=9e-08 [5.2m]
BEST r0 nev=592 J=0.8929 stiff=1.13 ref=1.57 fv_hip=0.123 fc_hip=0.0768 fv_knee=0.0855 fc_knee=0.0907 solref=0.0101 imp0=0.56 arm_knee=0.00893 M_c=0.443 I_th=0.91 I_ca=1.45 dz_th=0.053 dz_ca=0.109 tm=0.00115 c_qs=0.0134 v0=12.8 o1_429=0.108 o2_429=-0.0664 pre30=0.0178 [5.7m]
BEST r0 nev=668 J=0.8903 stiff=1.14 ref=1.51 fv_hip=0.278 fc_hip=0.0481 fv_knee=0.0854 fc_knee=0.0614 solref=0.0092 imp0=0.526 arm_knee=0.00852 M_c=0.515 I_th=0.993 I_ca=1.38 dz_th=0.072 dz_ca=0.117 tm=0.000736 c_qs=0.00383 v0=10.3 o1_429=0.0943 o2_429=-0.0633 pre30=0.00195 [6.4m]
