warm-start from previous mshoot best
warm-start from previous fourbar best
[p25_d] setup done [2s] — p24a law=(-0.3823, 0.6301, 7.2968) spr=(0.5637, 1.8775, 5.8838) k_rise=0.2656 tm=1.31ms
deploy p25_a4_ilqr.npz [60_1.5_60_1.5] — h_PD 0.699 m, F_τ 72.5%
deploy p25_a4_ilqr.npz [90_1.5_90_2.5] — h_PD 0.723 m, F_τ 68.0%
deploy p25_a4_ilqr.npz [120_2_120_2] — h_PD 0.825 m, F_τ 66.7%
deploy p25_a4_ilqr.npz [120_2.2_150_2.5] — h_PD 0.951 m, F_τ 64.8%
deploy p25_a4_ilqr.npz [120_2.2_200_2.8] — h_PD 1.163 m, F_τ 64.4%
deploy p25_a4_ilqr.npz [150_2.2_250_3] — h_PD 1.294 m, F_τ 63.3%
deploy p25_a4_ilqr.npz [150_2.2_350_3.5] — h_PD 1.389 m, F_τ 62.9%
deploy p25_a4_ilqr.npz [150_2.2_500_4] — h_PD 1.447 m, F_τ 63.3%
deploy p25_a_cl_cma.npz [60_1.5_60_1.5] — h_PD 1.017 m, F_τ 39.6%
deploy p25_a_cl_cma.npz [90_1.5_90_2.5] — h_PD 1.202 m, F_τ 28.6%
deploy p25_a_cl_cma.npz [120_2_120_2] — h_PD 1.156 m, F_τ 23.8%
deploy p25_a_cl_cma.npz [120_2.2_150_2.5] — h_PD 1.334 m, F_τ 18.8%
deploy p25_a_cl_cma.npz [120_2.2_200_2.8] — h_PD 1.420 m, F_τ 15.2%
deploy p25_a_cl_cma.npz [150_2.2_250_3] — h_PD 1.477 m, F_τ 12.0%
deploy p25_a_cl_cma.npz [150_2.2_350_3.5] — h_PD 1.500 m, F_τ 6.4%
deploy p25_a_cl_cma.npz [150_2.2_500_4] — h_PD 1.517 m, F_τ 0.0%
deploy p25_a_clt.npz [60_1.5_60_1.5] — h_PD 0.612 m, F_τ 38.2%
deploy p25_a_clt.npz [90_1.5_90_2.5] — h_PD 0.607 m, F_τ 33.7%
deploy p25_a_clt.npz [120_2_120_2] — h_PD 0.688 m, F_τ 22.2%
deploy p25_a_clt.npz [120_2.2_150_2.5] — h_PD 0.697 m, F_τ 22.2%
deploy p25_a_clt.npz [120_2.2_200_2.8] — h_PD 0.722 m, F_τ 16.8%
deploy p25_a_clt.npz [150_2.2_250_3] — h_PD 0.760 m, F_τ 14.6%
deploy p25_a_clt.npz [150_2.2_350_3.5] — h_PD 0.782 m, F_τ 8.6%
deploy p25_a_clt.npz [150_2.2_500_4] — h_PD 0.803 m, F_τ 0.0%
deploy p25_a_mppi.npz [60_1.5_60_1.5] — h_PD 1.076 m, F_τ 81.6%
deploy p25_a_mppi.npz [90_1.5_90_2.5] — h_PD 1.132 m, F_τ 70.2%
deploy p25_a_mppi.npz [120_2_120_2] — h_PD 1.203 m, F_τ 70.0%
deploy p25_a_mppi.npz [120_2.2_150_2.5] — h_PD 1.189 m, F_τ 62.5%
deploy p25_a_mppi.npz [120_2.2_200_2.8] — h_PD 1.179 m, F_τ 57.1%
deploy p25_a_mppi.npz [150_2.2_250_3] — h_PD 1.184 m, F_τ 52.1%
deploy p25_a_mppi.npz [150_2.2_350_3.5] — h_PD 1.158 m, F_τ 47.5%
deploy p25_a_mppi.npz [150_2.2_500_4] — h_PD 1.134 m, F_τ 45.7%
deploy p25_a_ol_cma.npz [60_1.5_60_1.5] — h_PD 1.094 m, F_τ 99.3%
deploy p25_a_ol_cma.npz [90_1.5_90_2.5] — h_PD 1.269 m, F_τ 100.6%
deploy p25_a_ol_cma.npz [120_2_120_2] — h_PD 1.352 m, F_τ 98.4%
deploy p25_a_ol_cma.npz [120_2.2_150_2.5] — h_PD 1.385 m, F_τ 95.5%
deploy p25_a_ol_cma.npz [120_2.2_200_2.8] — h_PD 1.408 m, F_τ 94.4%
deploy p25_a_ol_cma.npz [150_2.2_250_3] — h_PD 1.428 m, F_τ 101.1%
deploy p25_a_ol_cma.npz [150_2.2_350_3.5] — h_PD 1.430 m, F_τ 101.4%
deploy p25_a_ol_cma.npz [150_2.2_500_4] — h_PD 1.429 m, F_τ 99.6%
deploy p25_b_traj.npz [60_1.5_60_1.5] — h_PD 1.079 m, F_τ 99.1%
deploy p25_b_traj.npz [90_1.5_90_2.5] — h_PD 1.085 m, F_τ 96.9%
deploy p25_b_traj.npz [120_2_120_2] — h_PD 1.133 m, F_τ 97.6%
deploy p25_b_traj.npz [120_2.2_150_2.5] — h_PD 1.141 m, F_τ 99.5%
deploy p25_b_traj.npz [120_2.2_200_2.8] — h_PD 1.272 m, F_τ 99.2%
deploy p25_b_traj.npz [150_2.2_250_3] — h_PD 1.336 m, F_τ 97.6%
deploy p25_b_traj.npz [150_2.2_350_3.5] — h_PD 1.403 m, F_τ 91.4%
deploy p25_b_traj.npz [150_2.2_500_4] — h_PD 1.435 m, F_τ 110.4%
deploy p25_c_ppo.npz [60_1.5_60_1.5] — h_PD 0.973 m, F_τ 93.8%
deploy p25_c_ppo.npz [90_1.5_90_2.5] — h_PD 1.105 m, F_τ 90.2%
deploy p25_c_ppo.npz [120_2_120_2] — h_PD 1.207 m, F_τ 89.9%
deploy p25_c_ppo.npz [120_2.2_150_2.5] — h_PD 1.227 m, F_τ 87.2%
deploy p25_c_ppo.npz [120_2.2_200_2.8] — h_PD 1.251 m, F_τ 86.6%
deploy p25_c_ppo.npz [150_2.2_250_3] — h_PD 1.293 m, F_τ 85.4%
deploy p25_c_ppo.npz [150_2.2_350_3.5] — h_PD 1.298 m, F_τ 83.4%
deploy p25_c_ppo.npz [150_2.2_500_4] — h_PD 1.303 m, F_τ 81.4%
deploy p25_c_ppo_best.npz [60_1.5_60_1.5] — h_PD 1.030 m, F_τ 94.3%
deploy p25_c_ppo_best.npz [90_1.5_90_2.5] — h_PD 1.160 m, F_τ 90.4%
deploy p25_c_ppo_best.npz [120_2_120_2] — h_PD 1.264 m, F_τ 90.3%
deploy p25_c_ppo_best.npz [120_2.2_150_2.5] — h_PD 1.281 m, F_τ 87.7%
deploy p25_c_ppo_best.npz [120_2.2_200_2.8] — h_PD 1.295 m, F_τ 86.6%
deploy p25_c_ppo_best.npz [150_2.2_250_3] — h_PD 1.329 m, F_τ 84.3%
deploy p25_c_ppo_best.npz [150_2.2_350_3.5] — h_PD 1.334 m, F_τ 81.9%
deploy p25_c_ppo_best.npz [150_2.2_500_4] — h_PD 1.338 m, F_τ 79.5%
결과 원장 저장: C:\Users\junho\Documents\jump-opt-digital-twin\code\goal22\p25_deploy\p25_d_results.json
계획                           게인     h_plan    h_PD   H_fid     F_τ  F_τ,hip  F_τ,knee  dqRMSE      이지
p25_c_ppo.npz                150_2.2_500_4   1.319   1.303    1.2%   81.4%    88.8%     73.6%    7.43   141ms
p25_c_ppo_best.npz           60_1.5_60_1.5   1.349   1.030   23.6%   94.3%    95.9%     92.7%    7.71   154ms
p25_c_ppo_best.npz           90_1.5_90_2.5   1.349   1.160   14.1%   90.4%    95.9%     85.0%    6.97   149ms
p25_c_ppo_best.npz           120_2_120_2   1.349   1.264    6.3%   90.3%    92.2%     88.4%    7.59   152ms
p25_c_ppo_best.npz           120_2.2_150_2.5   1.349   1.281    5.0%   87.7%    89.6%     85.9%    7.27   149ms
p25_c_ppo_best.npz           120_2.2_200_2.8   1.349   1.295    4.0%   86.6%    88.7%     84.6%    7.65   147ms
p25_c_ppo_best.npz           150_2.2_250_3   1.349   1.329    1.5%   84.3%    88.3%     80.5%    8.11   145ms
p25_c_ppo_best.npz           150_2.2_350_3.5   1.349   1.334    1.1%   81.9%    87.1%     76.7%    8.72   143ms
p25_c_ppo_best.npz           150_2.2_500_4   1.349   1.338    0.8%   79.5%    86.2%     72.8%    9.62   142ms
그림 저장: C:\Users\junho\Documents\jump-opt-digital-twin\code\goal22\p25_deploy\p25_d_compare.png
DONE [0.2m]
