계획(성형)                       게인     h_plan    h_PD     F_τ     hip    knee
warm-start from previous mshoot best
warm-start from previous fourbar best
[p25_d] setup done [2s] — p24a law=(-0.3823, 0.6301, 7.2968) spr=(0.5637, 1.8775, 5.8838) k_rise=0.2656 tm=1.31ms
p25_c_ppo_best_t18           120_2.2_200_2.8   1.246   1.198   25.6%   19.9%   29.6%
p25_c_ppo_best_t18           150_2.2_250_3   1.246   1.211   24.1%   20.3%   27.0%
p25_c_ppo_best_t18           150_2.2_350_3.5   1.246   1.218   23.8%   20.7%   26.1%
p25_c_ppo_best_t18           150_2.2_500_4   1.246   1.221   25.1%   21.3%   27.9%
p25_c_ppo_best_t18_strict    60_1.5_60_1.5   1.202   1.148   11.7%    7.7%   14.3%
p25_c_ppo_best_t18_strict    90_1.5_90_2.5   1.202   1.184   10.3%    8.3%   11.8%
p25_c_ppo_best_t18_strict    120_2_120_2   1.202   1.188   11.3%    9.7%   12.4%
p25_c_ppo_best_t18_strict    120_2.2_150_2.5   1.202   1.190   11.8%   10.2%   13.0%
p25_c_ppo_best_t18_strict    120_2.2_200_2.8   1.202   1.189   14.3%   11.2%   16.5%
p25_c_ppo_best_t18_strict    150_2.2_250_3   1.202   1.198   14.5%   11.4%   16.7%
p25_c_ppo_best_t18_strict    150_2.2_350_3.5   1.202   1.198   17.8%   11.8%   21.7%
p25_c_ppo_best_t18_strict    150_2.2_500_4   1.202   1.198   22.1%   12.5%   27.8%
p25_c_ppo_t18                60_1.5_60_1.5   1.230   1.097   21.5%   16.8%   25.0%
p25_c_ppo_t18                90_1.5_90_2.5   1.230   1.147   20.8%   17.0%   23.7%
p25_c_ppo_t18                120_2_120_2   1.230   1.165   22.7%   18.6%   25.9%
p25_c_ppo_t18                120_2.2_150_2.5   1.230   1.174   24.5%   19.5%   28.2%
p25_c_ppo_t18                120_2.2_200_2.8   1.230   1.176   27.0%   21.1%   31.5%
p25_c_ppo_t18                150_2.2_250_3   1.230   1.191   25.6%   21.4%   28.8%
p25_c_ppo_t18                150_2.2_350_3.5   1.230   1.193   26.9%   22.4%   30.5%
p25_c_ppo_t18                150_2.2_500_4   1.230   1.201   28.3%   23.2%   32.3%
p25_c_ppo_t18_strict         60_1.5_60_1.5   1.069   1.073   12.8%    8.0%   15.9%
p25_c_ppo_t18_strict         90_1.5_90_2.5   1.069   1.089   12.0%   10.0%   13.6%
p25_c_ppo_t18_strict         120_2_120_2   1.069   1.109   10.5%   11.0%   10.0%
p25_c_ppo_t18_strict         120_2.2_150_2.5   1.069   1.085   11.1%   11.4%   10.8%
p25_c_ppo_t18_strict         120_2.2_200_2.8   1.069   1.045   14.4%   10.4%   17.2%
p25_c_ppo_t18_strict         150_2.2_250_3   1.069   1.052   14.7%   10.3%   17.7%
p25_c_ppo_t18_strict         150_2.2_350_3.5   1.069   1.044   19.6%   11.1%   25.0%
p25_c_ppo_t18_strict         150_2.2_500_4   1.069   1.046   24.7%   12.0%   32.1%
saved p25_d_shaped_results_t18.json
