t_s,q1_des_rad,q2_des_rad,dq1_des_rad_s,dq2_des_rad_s,tau1_ff_Nm,tau2_ff_Nm
0.000000,-0.295858,-2.542803,0.382759,-0.488651,-2.308172,5.960941
0.002000,-0.294765,-2.543157,0.636986,-0.128877,-2.582201,6.092334
0.004000,-0.293356,-2.543840,0.726310,-0.522644,-2.856229,6.223727
0.006000,-0.291897,-2.545580,0.726196,-1.067354,-3.130258,6.355121
0.008000,-0.290466,-2.548178,0.708519,-1.401379,-3.404287,6.486514
0.010000,-0.289072,-2.551088,0.690160,-1.456210,-3.678316,6.617907
0.012000,-0.287717,-2.553863,0.669194,-1.332851,-3.952345,6.749300
0.014000,-0.286412,-2.556311,0.642172,-1.158366,-4.226373,6.880693
0.016000,-0.285168,-2.558437,0.608439,-1.011919,-4.500402,7.012087
0.018000,-0.284000,-2.560332,0.569471,-0.914984,-4.774431,7.143480
0.020000,-0.282913,-2.562081,0.527312,-0.852920,-5.048460,7.274873
0.022000,-0.281913,-2.563714,0.483982,-0.788555,-5.137172,7.595889
0.024000,-0.280999,-2.565159,0.440353,-0.679800,-5.168815,7.975299
0.026000,-0.280176,-2.566366,0.394055,-0.557321,-5.200459,8.354710
0.028000,-0.279449,-2.567340,0.344199,-0.446930,-5.232102,8.734120
0.030000,-0.278827,-2.568107,0.290961,-0.345954,-5.263746,9.113530
0.032000,-0.278315,-2.568677,0.234809,-0.248940,-5.295390,9.492941
0.034000,-0.277918,-2.569053,0.175893,-0.150347,-5.327033,9.872351
0.036000,-0.277643,-2.569224,0.114234,-0.046024,-5.358677,10.251761
0.038000,-0.277494,-2.569179,0.051082,0.064117,-5.390320,10.631171
0.040000,-0.277472,-2.568911,-0.013364,0.176248,-5.421964,11.010582
0.042000,-0.277583,-2.568418,-0.081555,0.287388,-5.560654,11.360289
0.044000,-0.277838,-2.567712,-0.155729,0.392596,-5.794610,11.683562
0.046000,-0.278247,-2.566790,-0.234158,0.503156,-6.028567,12.006835
0.048000,-0.278817,-2.565632,-0.316089,0.626567,-6.262524,12.330108
0.050000,-0.279555,-2.564210,-0.401421,0.762868,-6.496481,12.653381
0.052000,-0.280468,-2.562504,-0.490227,0.908366,-6.730438,12.976654
0.054000,-0.281564,-2.560499,-0.582529,1.059423,-6.964395,13.299927
0.056000,-0.282848,-2.558187,-0.678254,1.214307,-7.198351,13.623200
0.058000,-0.284328,-2.555560,-0.777266,1.373132,-7.432308,13.946473
0.060000,-0.286009,-2.552610,-0.879428,1.536849,-7.666265,14.269746
0.062000,-0.287899,-2.549326,-0.984629,1.705433,-7.913569,14.505280
0.064000,-0.290003,-2.545742,-1.092509,1.839110,-8.192976,14.529782
0.066000,-0.292324,-2.541912,-1.201299,1.962901,-8.472383,14.554285
0.068000,-0.294863,-2.537804,-1.310225,2.112505,-8.751791,14.578787
0.070000,-0.297620,-2.533359,-1.419647,2.291639,-9.031198,14.603290
0.072000,-0.300597,-2.528532,-1.530190,2.487277,-9.310605,14.627793
0.074000,-0.303797,-2.523309,-1.642195,2.686188,-9.590012,14.652295
0.076000,-0.307223,-2.517691,-1.755647,2.882545,-9.869419,14.676798
0.078000,-0.310878,-2.511682,-1.870331,3.077140,-10.148826,14.701300
0.080000,-0.314763,-2.505283,-1.986021,3.273223,-10.428233,14.725803
0.082000,-0.318881,-2.498488,-2.102573,3.473237,-10.709159,14.752458
0.084000,-0.323232,-2.491283,-2.220131,3.681381,-11.014645,14.813932
0.086000,-0.327821,-2.483651,-2.338951,3.896956,-11.320130,14.875406
