t_s,q1_des_rad,q2_des_rad,dq1_des_rad_s,dq2_des_rad_s,tau1_ff_Nm,tau2_ff_Nm
0.088000,-0.332649,-2.475585,-2.459007,4.114386,-11.625616,14.936881
0.090000,-0.337718,-2.467084,-2.580220,4.332658,-11.931101,14.998355
0.092000,-0.343031,-2.458143,-2.702498,4.553274,-12.236587,15.059829
0.094000,-0.348590,-2.448757,-2.825788,4.777891,-12.542073,15.121304
0.096000,-0.354397,-2.438915,-2.950094,5.007275,-12.847558,15.182778
0.098000,-0.360454,-2.428609,-3.075456,5.241440,-13.153044,15.244252
0.100000,-0.366763,-2.417828,-3.201936,5.480177,-13.458529,15.305726
0.102000,-0.373326,-2.406564,-3.329603,5.723404,-13.764015,15.367201
0.104000,-0.380146,-2.394813,-3.457810,5.965376,-13.929140,15.340410
0.106000,-0.387220,-2.382589,-3.584914,6.200601,-14.064032,15.294608
0.108000,-0.394548,-2.369886,-3.711454,6.443277,-14.198924,15.248806
0.110000,-0.402129,-2.356685,-3.837963,6.695610,-14.333816,15.203004
0.112000,-0.409964,-2.342971,-3.964885,6.953994,-14.468707,15.157202
0.114000,-0.418053,-2.328737,-4.092526,7.215408,-14.603599,15.111400
0.116000,-0.426398,-2.313977,-4.221077,7.479093,-14.738491,15.065598
0.118000,-0.435002,-2.298686,-4.350681,7.745588,-14.873383,15.019796
0.120000,-0.443867,-2.282858,-4.481485,8.015583,-15.008275,14.973994
0.122000,-0.452995,-2.266485,-4.613662,8.289491,-15.143167,14.928192
0.124000,-0.462389,-2.249558,-4.747132,8.569732,-15.169420,14.937583
0.126000,-0.472051,-2.232053,-4.880980,8.863012,-15.119343,14.985754
0.128000,-0.481982,-2.213959,-5.016436,9.157187,-15.069266,15.033926
0.130000,-0.492186,-2.195278,-5.154111,9.450546,-15.019188,15.082097
0.132000,-0.502669,-2.176007,-5.294239,9.746634,-14.969111,15.130268
0.134000,-0.513436,-2.156138,-5.437063,10.048141,-14.919034,15.178439
0.136000,-0.524492,-2.135658,-5.582889,10.356050,-14.868957,15.226610
0.138000,-0.535843,-2.114554,-5.732052,10.670665,-14.818879,15.274781
0.140000,-0.547498,-2.092811,-5.884886,10.992340,-14.768802,15.322952
0.142000,-0.559463,-2.070416,-6.041734,11.321632,-14.718725,15.371123
0.144000,-0.571747,-2.047353,-6.202974,11.658747,-14.694573,15.389799
0.146000,-0.584360,-2.023613,-6.369124,11.997503,-14.718171,15.354152
0.148000,-0.597311,-1.999183,-6.540004,12.347020,-14.741769,15.318504
0.150000,-0.610610,-1.974037,-6.716005,12.710297,-14.765366,15.282856
0.152000,-0.624269,-1.948148,-6.897747,13.086028,-14.788964,15.247209
0.154000,-0.638298,-1.921493,-7.085802,13.473829,-14.812562,15.211561
0.156000,-0.652712,-1.894047,-7.280722,13.874509,-14.836160,15.175914
0.158000,-0.667526,-1.865782,-7.483111,14.289342,-14.859757,15.140266
0.160000,-0.682754,-1.836668,-7.693646,14.719721,-14.883355,15.104619
0.162000,-0.698414,-1.806672,-7.913093,15.167140,-14.906953,15.068971
0.164000,-0.714525,-1.775758,-8.142310,15.633255,-14.926961,15.020568
0.166000,-0.731107,-1.743895,-8.381524,16.111876,-14.919734,14.875373
0.168000,-0.748180,-1.711053,-8.630626,16.609509,-14.912506,14.730179
0.170000,-0.765765,-1.677183,-8.891020,17.133063,-14.905279,14.584985
0.172000,-0.783886,-1.642234,-9.164374,17.683257,-14.898051,14.439791
0.174000,-0.802573,-1.606149,-9.452283,18.261603,-14.890824,14.294596
0.176000,-0.821855,-1.568869,-9.756393,18.870916,-14.883596,14.149402
0.178000,-0.841767,-1.530328,-10.078537,19.514761,-14.876369,14.004208
0.180000,-0.862349,-1.490452,-10.420807,20.197230,-14.869142,13.859014
0.182000,-0.883643,-1.449158,-10.785606,20.922989,-14.861914,13.713819
0.184000,-0.905697,-1.406352,-11.175692,21.697380,-14.854687,13.568625
