t_s,q1_des_rad,q2_des_rad,dq1_des_rad_s,dq2_des_rad_s,tau1_ff_Nm,tau2_ff_Nm
0.160000,-0.818248,-1.574113,-10.639134,20.582238,-17.509830,17.736013
0.162000,-0.840021,-1.531977,-11.037885,21.361921,-17.537592,17.382504
0.164000,-0.862620,-1.488232,-11.460026,22.185530,-17.561131,17.009080
0.166000,-0.886097,-1.442765,-11.908950,23.070178,-17.552628,16.607980
0.168000,-0.910510,-1.395450,-12.389061,24.018228,-17.544125,16.178134
0.170000,-0.935927,-1.346154,-12.904860,25.034647,-17.535622,15.717288
0.172000,-0.962425,-1.294732,-13.460912,26.127153,-17.527119,15.221946
0.174000,-0.990091,-1.241020,-14.062171,27.304874,-17.518616,14.687967
0.176000,-1.019022,-1.184834,-14.714082,28.577856,-17.510114,14.110796
0.178000,-1.049326,-1.125972,-15.422636,29.957002,-17.501611,13.485490
0.180000,-1.081338,-1.063665,-16.459393,32.218640,-17.493108,12.460063
0.182000,-1.115388,-0.995375,-17.251967,34.949549,-17.484605,11.221867
0.184000,-1.151145,-0.923161,-18.228613,36.932479,-17.476102,10.322806
