26.04.29/60_1.5_60_1.5: 20s | 미활성 h0.0/k0.0s | 공중 0~1s raw(-0.54,-0.34)@(-45°,-90°) | 접지 1~15s raw(-0.69,+3.92)
26.04.29/90_0.75_90_2: 59s | 미활성 h0.0/k0.0s | 공중 — | 접지 1~53s raw(-0.17,+4.03)
26.04.29/90_1.5_90_2.5: 15s | 미활성 h0.0/k0.0s | 공중 0~1s raw(-0.07,-0.02)@(-45°,-90°) | 접지 1~10s raw(-0.06,+3.74)
26.06.02/position/120_2_120_2: 45s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.38,-0.08)@(-45°,-90°) | 접지 4~8s raw(+0.38,-0.08)
26.06.02/position/150_2.2_250_3: 38s | 미활성 h0.0/k0.0s | 공중 — | 접지 2~13s raw(+0.65,+0.00)
26.06.02/position/150_2.2_500_5: 44s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.73,-0.13)@(-44°,-90°) | 접지 2~15s raw(+0.73,-0.13)
26.06.02/position/60_0.75_60_2: 52s | 미활성 h0.0/k0.0s | 공중 — | 접지 2~26s raw(-0.02,-0.03)
26.06.02/position/60_1.5_60_1.5: 33s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.23,-0.13)@(-46°,-90°) | 접지 1~11s raw(+0.23,-0.13)
26.06.02/position/90_0.75_90_2: 49s | 미활성 h0.0/k0.0s | 공중 — | 접지 1~5s raw(+0.65,-0.12)
26.07.22/120_2_120_2: 17s | 미활성 h0.0/k0.0s | 공중 — | 접지 1~12s raw(-0.01,+3.97)
26.07.22/150_2.2_250_3: 15s | 미활성 h0.0/k0.0s | 공중 0~1s raw(-0.02,-0.03)@(-45°,-90°) | 접지 1~10s raw(-0.04,+3.95)
26.07.22/150_3.3_500_5: 25s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.22,-0.05)@(-45°,-90°) | 접지 4~20s raw(+0.17,+3.88)
26.07.22/60_0.75_60_2: 22s | 미활성 h0.0/k0.0s | 공중 — | 접지 1~9s raw(-0.13,+3.71)
26.07.22/60_1.5_60_1.5: 22s | 미활성 h0.0/k0.0s | 공중 — | 접지 1~17s raw(-0.02,+3.72)
26.07.23/150_2.2_250_3: 18s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.02,-0.15)@(-45°,-90°) | 접지 1~13s raw(-0.04,+3.75)
26.07.23/150_2.2_500_5: 16s | 미활성 h0.0/k0.0s | 공중 0~1s raw(-0.28,-0.13)@(-45°,-90°) | 접지 1~11s raw(-0.47,+3.20)
26.07.23/60_0.75_60_2: 23s | 미활성 h0.0/k0.0s | 공중 0~1s raw(-0.01,-0.16)@(-45°,-90°) | 접지 1~5s raw(-0.02,+3.63)
26.07.24/150_2.2_250_3: 30s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.60,-0.10)@(-45°,-90°) | 접지 1~7s raw(-0.44,+4.26)
26.07.24/150_2.2_350_3.5: 21s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.44,-0.11)@(-45°,-90°) | 접지 1~4s raw(-0.47,+3.75)
26.07.24/150_2.2_500_5: 15s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.12,-0.21)@(-45°,-90°) | 접지 1~10s raw(-0.61,+3.51)
26.07.25/100_1.5_250_3: 18s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.52,-0.15)@(-45°,-90°) | 접지 1~13s raw(-0.34,+3.31)
26.07.25/120_2_250_3: 17s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.29,-0.15)@(-45°,-90°) | 접지 1~12s raw(-0.75,+3.38)
26.07.25/150_2.2_250_3: 20s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.56,-0.07)@(-45°,-90°) | 접지 1~15s raw(-0.36,+3.46)
26.07.25/200_2.5_250_3: 14s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.53,-0.13)@(-45°,-90°) | 접지 1~9s raw(-1.09,+3.25)
26.07.27/100_1.5_250_3: 13s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.64,-0.15)@(-45°,-90°) | 접지 1~8s raw(-0.58,+3.44)
26.07.27/120_2_250_3: 13s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.69,-0.31)@(-45°,-90°) | 접지 1~8s raw(-0.75,+3.50)
26.07.27/150_2.2_250_3: 16s | 미활성 h0.0/k0.0s | 공중 — | 접지 4~12s raw(-0.90,+3.49)
26.07.27/200_2.5_250_3: 11s | 미활성 h0.0/k0.0s | 공중 0~2s raw(+0.65,-0.07)@(-45°,-90°) | 접지 2~6s raw(-0.82,+3.64)
26.07.27/250_3_250_3: 15s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.73,-0.11)@(-45°,-90°) | 접지 1~10s raw(-0.72,+3.51)
26.07.27/60_2_250_3: 31s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.30,-0.08)@(-45°,-90°) | 접지 1~14s raw(-0.58,+3.46)
26.07.27/80_2_250_3: 19s | 미활성 h0.0/k0.0s | 공중 0~1s raw(+0.80,-0.11)@(-46°,-90°) | 접지 1~4s raw(-0.24,+3.89)

done → _fs3_recon.json (66 trials)
