warm-start from previous mshoot best
warm-start from previous fourbar best
26.07.23/60_0.75_60_2: 시작 +0.70 → 끝 -0.36 (최소 -0.36/최대 +0.77, 창 18)
26.07.24/150_2.2_250_3: 시작 +0.42 → 끝 +0.05 (최소 +0.05/최대 +0.76, 창 22)
26.07.24/150_2.2_350_3.5: 시작 +0.56 → 끝 -0.20 (최소 -0.81/최대 +0.56, 창 15)
26.07.24/150_2.2_500_5: 시작 +0.26 → 끝 -0.23 (최소 -0.58/최대 +1.03, 창 12)
26.07.25/100_1.5_250_3: 시작 +0.62 → 끝 +5.27 (최소 +0.46/최대 +5.99, 창 16)
26.07.25/120_2_250_3: 시작 +0.89 → 끝 +5.43 (최소 +0.85/최대 +5.43, 창 14)
26.07.25/150_2.2_250_3: 시작 +0.44 → 끝 +6.59 (최소 +0.43/최대 +6.59, 창 17)
26.07.25/200_2.5_250_3: 시작 +0.83 → 끝 +7.40 (최소 +0.60/최대 +7.40, 창 11)
26.07.27/100_1.5_250_3: 시작 +0.96 → 끝 +1.85 (최소 +0.68/최대 +1.92, 창 10)
26.07.27/120_2_250_3: 시작 +0.83 → 끝 +2.11 (최소 +0.83/최대 +2.94, 창 10)
26.07.27/150_2.2_250_3: 시작 +0.79 → 끝 +1.99 (최소 +0.58/최대 +2.11, 창 12)
26.07.27/200_2.5_250_3: 시작 +0.11 → 끝 +2.04 (최소 +0.11/최대 +2.12, 창 7)
26.07.27/250_3_250_3: 시작 +0.21 → 끝 +2.24 (최소 +0.19/최대 +2.24, 창 12)
26.07.27/60_2_250_3: 시작 +0.98 → 끝 +1.88 (최소 +0.70/최대 +1.88, 창 27)
26.07.27/80_2_250_3: 시작 +0.53 → 끝 +1.86 (최소 +0.53/최대 +1.86, 창 15)
done
